tripid,bikeid,starttime,stoptime,tripduration,O_id,O_name,O_lat,O_lon,D_id,D_name,D_lat,D_lon,usertype,gender,birth
7889,5925,54028,55243,"1,215.0",4,Burnham Harbor,41.856268,-87.613348,7,Field Blvd & South Water St,41.886349063,-87.617516547,Subscriber,Male,1981
7890,5896,54028,56486,"2,458.0",318,Southport Ave & Irving Park Rd,41.954177,-87.664358,177,Theater on the Lake,41.926277,-87.630834,Customer,,
7891,5932,54029,55678,"1,649.0",150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,341,Adler Planetarium,41.866095,-87.607267,Subscriber,Female,1993
7892,683,54029,56049,"2,020.0",5,State St & Harrison St,41.874053,-87.627716,338,Calumet Ave & 18th St,41.857611,-87.619407,Customer,,
7893,1075,54031,58098,"4,067.0",172,Rush St & Cedar St,41.902308701,-87.627690528,172,Rush St & Cedar St,41.902308701,-87.627690528,Customer,,
7894,2850,54040,55136,"1,096.0",340,Clark St & Wrightwood Ave,41.929546,-87.643118,20,Sheffield Ave & Kingsbury St,41.910522,-87.653106,Subscriber,Female,1983
7895,2171,54042,55165,"1,123.0",227,Southport Ave & Waveland Ave,41.94815,-87.66394,462,Winchester (Ravenswood) Ave & Balmoral Ave,41.979762,-87.67753,Subscriber,Male,1984
7896,5464,54051,54220,169.0,195,Columbus Dr & Randolph St,41.884728,-87.619521,44,State St & Randolph St,41.884730201,-87.627733569,Subscriber,Male,1989
7897,1089,54057,54542,485.0,324,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,177,Theater on the Lake,41.926277,-87.630834,Subscriber,Female,1990
7898,5717,54059,60035,"5,976.0",25,Michigan Ave & Pearson St,41.89766,-87.62351,140,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,Customer,,
7899,6366,54064,55499,"1,435.0",3,Shedd Aquarium,41.867225957,-87.61535539,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7900,2602,54068,54266,198.0,35,Streeter Dr & Grand Ave,41.892278,-87.612043,26,McClurg Ct & Illinois St,41.890359,-87.617532,Subscriber,Female,1993
